County,FIPS,black_pop,white_pop,bw_pop
Jones,28067,19711,47154,66865
Lauderdale,28075,33893,43482,77375
Pike,28113,21028,18282,39310
Hancock,28045,4172,39686,43858
Holmes,28051,15498,3105,18603
Jackson,28059,30704,101686,132390
Grenada,28043,9417,11991,21408
Scott,28123,10562,16920,27482
Wayne,28153,8015,12154,20169
Bolivar,28011,21648,11197,32845
Coahoma,28027,19167,5710,24877
Lowndes,28087,26168,32116,58284
Quitman,28119,5452,2246,7698
Montgomery,28097,4713,5603,10316
Itawamba,28057,1531,21508,23039
Humphreys,28053,6774,2031,8805
Panola,28107,17247,16779,34026
Greene,28041,3647,10179,13826
Perry,28111,2598,9441,12039
Lamar,28073,11826,44635,56461
Jasper,28061,8785,7674,16459
Leake,28079,9576,12091,21667
Warren,28149,23025,23804,46829
Sunflower,28133,20386,7197,27583
Union,28145,3986,22763,26749
Webster,28155,1964,7880,9844
Pontotoc,28115,4631,24275,28906
George,28039,1832,20627,22459
Monroe,28095,11021,24635,35656
Covington,28031,6982,12226,19208
Harrison,28047,45678,136231,181909
Amite,28005,5416,7395,12811
Tishomingo,28141,508,18471,18979
Leflore,28083,22748,8004,30752
DeSoto,28033,40230,120452,160682
Lafayette,28071,12292,36841,49133
Calhoun,28013,3991,10103,14094
Chickasaw,28017,7549,9522,17071
Lee,28081,23782,58614,82396
Franklin,28037,2816,4997,7813
Washington,28151,35225,13446,48671
Jefferson,28063,6520,1057,7577
Yazoo,28163,16054,10730,26784
Walthall,28147,6768,7967,14735
Winston,28159,8919,9602,18521
Claiborne,28021,7918,1271,9189
Lincoln,28085,10706,23722,34428
Jefferson Davis,28065,7312,4586,11898
Forrest,28035,27910,45641,73551
Newton,28101,6576,13699,20275
Attala,28007,8194,10649,18843
Pearl River,28109,7483,46411,53894
Oktibbeha,28105,18205,28608,46813
Copiah,28029,14833,13316,28149
Clarke,28023,5731,10502,16233
Hinds,28049,172869,67125,239994
Kemper,28069,6026,3761,9787
Issaquena,28055,841,443,1284
Madison,28089,38315,56847,95162
Tallahatchie,28135,6751,6299,13050
Sharkey,28125,3438,1342,4780
Simpson,28127,9782,17211,26993
Alcorn,28003,4281,31563,35844
Tate,28137,8747,19059,27806
Clay,28025,11809,8213,20022
Tippah,28139,3529,17919,21448
Carroll,28015,3470,6702,10172
Stone,28131,3450,14147,17597
Prentiss,28117,3603,21309,24912
Rankin,28121,28896,113170,142066
Neshoba,28099,6611,17543,24154
Benton,28009,3078,5166,8244
Choctaw,28019,2596,5661,8257
Yalobusha,28161,4909,7330,12239
Noxubee,28103,8016,3094,11110
Marshall,28093,17319,17902,35221
Lawrence,28077,4066,8349,12415
Marion,28091,8432,17170,25602
Smith,28129,4026,12172,16198
Adams,28001,17757,12856,30613
Tunica,28143,7914,2209,10123
Wilkinson,28157,6603,2698,9301
