"county_name","county_fips","driver_race_Black","driver_race_White","County","black_pop","white_pop","bw_pop","pct_black_stopped","pct_white_stopped"
"Adams County",28001,583,359,"Adams County",17757,12856,30613,0.0328321225432224,0.0279247044181705
"Alcorn County",28003,468,2877,"Alcorn County",4281,31563,35844,0.109320252277505,0.0911510312707917
"Amite County",28005,1589,1331,"Amite County",5416,7395,12811,0.293389955686854,0.179986477349561
"Attala County",28007,2096,2107,"Attala County",8194,10649,18843,0.25579692457896,0.197858953892384
"Benton County",28009,121,93,"Benton County",3078,5166,8244,0.039311241065627,0.0180023228803717
"Bolivar County",28011,3162,1364,"Bolivar County",21648,11197,32845,0.146064301552106,0.121818344199339
"Calhoun County",28013,726,932,"Calhoun County",3991,10103,14094,0.181909295915811,0.0922498267841235
"Carroll County",28015,1082,706,"Carroll County",3470,6702,10172,0.311815561959654,0.105341689048045
"Chickasaw County",28017,2394,1474,"Chickasaw County",7549,9522,17071,0.317128096436614,0.154799411888259
"Choctaw County",28019,248,365,"Choctaw County",2596,5661,8257,0.0955315870570108,0.0644762409468292
"Claiborne County",28021,1079,308,"Claiborne County",7918,1271,9189,0.136271785804496,0.242328874901652
"Clarke County",28023,313,270,"Clarke County",5731,10502,16233,0.0546152503926016,0.025709388687869
"Clay County",28025,724,257,"Clay County",11809,8213,20022,0.0613091709712931,0.0312918543772069
"Coahoma County",28027,1706,885,"Coahoma County",19167,5710,24877,0.0890071477017791,0.154991243432574
"Copiah County",28029,3479,2606,"Copiah County",14833,13316,28149,0.234544596507787,0.195704415740463
"Covington County",28031,1198,700,"Covington County",6982,12226,19208,0.171584073331424,0.0572550302633731
"DeSoto County",28033,553,650,"DeSoto County",40230,120452,160682,0.0137459607258265,0.00539634045096802
"Forrest County",28035,1806,2629,"Forrest County",27910,45641,73551,0.0647079899677535,0.057601717753774
"Franklin County",28037,1393,1114,"Franklin County",2816,4997,7813,0.494673295454545,0.222933760256154
"George County",28039,865,3913,"George County",1832,20627,22459,0.472161572052402,0.189702816696563
"Greene County",28041,303,750,"Greene County",3647,10179,13826,0.0830819851933096,0.0736811081638668
"Grenada County",28043,1211,1433,"Grenada County",9417,11991,21408,0.1285972177976,0.119506296388958
"Hancock County",28045,516,3274,"Hancock County",4172,39686,43858,0.123681687440077,0.0824976062087386
"Harrison County",28047,1448,4646,"Harrison County",45678,136231,181909,0.0317001620035903,0.034103838333419
"Hinds County",28049,3296,1697,"Hinds County",172869,67125,239994,0.0190664607303797,0.0252811918063315
"Holmes County",28051,2975,1341,"Holmes County",15498,3105,18603,0.191960252935863,0.431884057971014
"Humphreys County",28053,1438,680,"Humphreys County",6774,2031,8805,0.212282255683496,0.334810438207779
"Issaquena County",28055,460,677,"Issaquena County",841,443,1284,0.546967895362664,1.52821670428894
"Itawamba County",28057,324,2156,"Itawamba County",1531,21508,23039,0.211626387981711,0.100241770503999
"Jackson County",28059,1497,5262,"Jackson County",30704,101686,132390,0.0487558624283481,0.0517475365340362
"Jasper County",28061,1095,913,"Jasper County",8785,7674,16459,0.124644280022766,0.118973156111545
"Jefferson County",28063,3571,641,"Jefferson County",6520,1057,7577,0.547699386503067,0.60643330179754
"Jefferson Davis County",28065,585,373,"Jefferson Davis County",7312,4586,11898,0.0800054704595186,0.0813344962930659
"Jones County",28067,1677,2156,"Jones County",19711,47154,66865,0.0850793972908528,0.0457225261907791
"Kemper County",28069,1264,1236,"Kemper County",6026,3761,9787,0.209757716561567,0.328636001063547
"Lafayette County",28071,464,705,"Lafayette County",12292,36841,49133,0.037748128864302,0.0191362883743655
"Lamar County",28073,1299,2064,"Lamar County",11826,44635,56461,0.109842719431761,0.0462417385459841
"Lauderdale County",28075,3191,5604,"Lauderdale County",33893,43482,77375,0.0941492343551766,0.128880916241203
"Lawrence County",28077,259,309,"Lawrence County",4066,8349,12415,0.0636989670437777,0.0370104204096299
"Leake County",28079,1667,1330,"Leake County",9576,12091,21667,0.174081035923141,0.109999172938549
"Lee County",28081,1663,3297,"Lee County",23782,58614,82396,0.0699268354217475,0.0562493602211076
"Leflore County",28083,1452,221,"Leflore County",22748,8004,30752,0.0638297872340425,0.0276111944027986
"Lincoln County",28085,1416,2412,"Lincoln County",10706,23722,34428,0.132262282832057,0.101677767473232
"Lowndes County",28087,1719,1491,"Lowndes County",26168,32116,58284,0.0656909202078875,0.0464254577157803
"Madison County",28089,1368,641,"Madison County",38315,56847,95162,0.0357040323633042,0.0112758808732211
"Marion County",28091,123,116,"Marion County",8432,17170,25602,0.0145872865275142,0.00675596971461852
"Marshall County",28093,136,84,"Marshall County",17319,17902,35221,0.00785264738148854,0.00469221316054072
"Monroe County",28095,5642,4826,"Monroe County",11021,24635,35656,0.511931766627348,0.195900142074285
"Montgomery County",28097,1607,1776,"Montgomery County",4713,5603,10316,0.340971780182474,0.316973050151704
"Neshoba County",28099,28,49,"Neshoba County",6611,17543,24154,0.00423536530025715,0.00279313686370632
"Newton County",28101,1215,1270,"Newton County",6576,13699,20275,0.184762773722628,0.0927074968975838
"Noxubee County",28103,20,10,"Noxubee County",8016,3094,11110,0.00249500998003992,0.00323206205559147
"Oktibbeha County",28105,1906,2091,"Oktibbeha County",18205,28608,46813,0.104696511947267,0.0730914429530201
"Panola County",28107,829,925,"Panola County",17247,16779,34026,0.0480663303762973,0.0551284343524644
"Pearl River County",28109,277,564,"Pearl River County",7483,46411,53894,0.0370172390752372,0.0121522914826227
"Perry County",28111,255,530,"Perry County",2598,9441,12039,0.0981524249422633,0.0561381209617625
"Pike County",28113,2034,2133,"Pike County",21028,18282,39310,0.0967281719611946,0.116672136527732
"Pontotoc County",28115,463,1189,"Pontotoc County",4631,24275,28906,0.0999784063917081,0.0489804325437693
"Prentiss County",28117,330,1711,"Prentiss County",3603,21309,24912,0.0915903413821815,0.0802947111549111
"Quitman County",28119,830,685,"Quitman County",5452,2246,7698,0.152237710931768,0.304986642920748
"Rankin County",28121,182,174,"Rankin County",28896,113170,142066,0.0062984496124031,0.00153750994079703
"Scott County",28123,2250,2672,"Scott County",10562,16920,27482,0.21302783563719,0.157919621749409
"Sharkey County",28125,841,931,"Sharkey County",3438,1342,4780,0.244618964514252,0.693740685543964
"Simpson County",28127,1674,1803,"Simpson County",9782,17211,26993,0.171130648129217,0.104758584626111
"Smith County",28129,76,184,"Smith County",4026,12172,16198,0.0188772975658222,0.0151166611896155
"Stone County",28131,941,1967,"Stone County",3450,14147,17597,0.272753623188406,0.139040079168728
"Sunflower County",28133,3105,816,"Sunflower County",20386,7197,27583,0.152310409104287,0.113380575239683
"Tallahatchie County",28135,266,127,"Tallahatchie County",6751,6299,13050,0.0394015701377574,0.0201619304651532
"Tate County",28137,930,1047,"Tate County",8747,19059,27806,0.10632216760032,0.0549346765307729
"Tippah County",28139,343,1136,"Tippah County",3529,17919,21448,0.0971946727118164,0.0633963948881076
"Tishomingo County",28141,93,1599,"Tishomingo County",508,18471,18979,0.183070866141732,0.0865681338314114
"Tunica County",28143,4,0,"Tunica County",7914,2209,10123,0.000505433409148345,0
"Union County",28145,572,1890,"Union County",3986,22763,26749,0.143502257902659,0.0830294776611167
"Walthall County",28147,942,880,"Walthall County",6768,7967,14735,0.139184397163121,0.11045562947157
