county_name,Breaks-Lights-etc,Careless driving,License-Permit-Insurance,Other or unknown,Seat belt,Speeding
Adams,7,48,118,35,229,505
Alcorn,62,100,737,418,629,1399
Amite,47,86,370,143,336,1939
Attala,99,113,526,155,748,2562
Benton,3,9,73,26,29,74
Bolivar,57,139,1034,254,729,2313
Calhoun,26,38,383,102,150,959
Carroll,26,40,323,103,158,1138
Chickasaw,42,53,1378,232,442,1722
Choctaw,8,6,73,24,18,484
Claiborne,25,39,102,162,177,882
Clarke,8,15,169,66,33,294
Clay,39,48,424,86,105,279
Coahoma,17,55,410,440,401,1268
Copiah,140,215,993,337,850,3551
Covington,11,66,714,135,98,874
DeSoto,40,61,187,123,145,647
Forrest,57,264,969,457,261,2427
Franklin,26,61,408,155,339,1518
George,33,88,820,360,355,3122
Greene,5,35,148,57,21,787
Grenada,33,45,506,196,180,1684
Hancock,213,90,344,145,563,2435
Harrison,212,312,1273,443,306,3550
Hinds,136,264,648,695,609,2641
Holmes,23,91,375,228,350,3249
Humphreys,3,8,199,35,37,1836
Issaquena,9,4,23,261,230,610
Itawamba,66,128,640,160,740,747
Jackson,111,532,662,490,669,4295
Jasper,13,46,368,109,81,1391
Jefferson,173,98,670,315,420,2536
Jefferson Davis,4,46,225,47,29,607
Jones,22,162,674,257,300,2418
Kemper,24,16,129,105,109,2117
Lafayette,12,57,140,89,261,610
Lamar,31,99,506,264,150,2315
Lauderdale,50,354,949,535,403,6504
Lawrence,9,13,108,39,52,347
Leake,16,57,322,81,131,2390
Lee,97,182,833,202,937,2709
Leflore,45,59,611,153,195,611
Lincoln,22,83,264,100,408,2951
Lowndes,28,130,456,71,235,2290
Madison,50,73,270,79,86,1451
Marion,7,13,103,22,28,66
Marshall,14,8,40,38,40,80
Monroe,190,200,2889,549,1300,5341
Montgomery,79,69,573,150,187,2325
Neshoba,1,3,19,20,4,30
Newton,28,50,334,254,308,1511
Noxubee,1,1,10,5,2,11
Oktibbeha,13,69,818,151,215,2734
Panola,15,100,206,77,387,969
Pearl River,16,14,301,166,32,316
Perry,6,5,65,41,26,642
Pike,47,163,752,329,490,2387
Pontotoc,16,79,300,89,111,1057
Prentiss,23,65,296,137,377,1143
Quitman,14,47,166,87,223,978
Rankin,5,25,100,41,29,156
Scott,41,208,1237,234,649,2556
Sharkey,11,12,43,448,328,930
Simpson,78,96,760,219,293,2035
Smith,2,9,20,18,5,206
Stone,35,80,298,180,180,2135
Sunflower,28,119,1084,144,518,2029
Tallahatchie,8,6,34,29,60,256
Tate,50,70,335,126,316,1080
Tippah,12,58,449,115,357,488
Tishomingo,31,41,278,163,433,746
Tunica,NA,NA,2,1,NA,1
Union,4,69,360,174,442,1413
Walthall,10,34,266,175,156,1181
Warren,36,29,183,360,551,1570
Washington,31,49,227,106,557,1775
Wayne,8,159,415,163,461,3041
Webster,1,NA,14,1,10,130
Wilkinson,1,NA,16,6,5,15
Winston,27,85,696,290,294,2930
Yalobusha,3,13,48,25,125,108
Yazoo,28,86,239,105,202,2868
